fasId,fasFacility_ID,fasService_ID
1657,11239,13
1658,11239,5
1659,11239,12
1660,11239,4
1661,11240,5
1662,11240,12
1663,11242,5
1664,11242,4
1665,11243,13
1666,11243,5
1667,11243,12
1668,11243,4
1669,11244,5
1670,11244,12
1671,11244,4
1672,11245,5
1673,11245,4
1674,11246,5
1675,11247,5
1676,11247,12
1677,11247,4
1678,11248,5
1679,11248,12
1680,11248,4
1681,11250,5
1682,11250,4
1683,11251,12
1684,11253,4
1685,11254,5
1686,11255,13
1687,11255,5
1688,11255,12
1689,11255,4
1690,11256,5
1691,11256,12
1692,11256,4
1693,11258,13
1694,11258,5
1695,11258,12
1696,11258,4
1697,11259,13
1698,11259,5
1699,11259,12
1700,11260,5
1701,11262,12
1702,11262,17
1703,11262,4
1704,11263,17
1705,11264,13
1706,11264,5
1707,11264,12
1708,11264,4
1709,11265,17
1710,11265,4
1711,11266,5
1712,11266,12
1713,11266,4
1714,11267,5
1715,11270,5
1716,11271,5
1717,11273,13
1718,11273,12
1719,11274,13
1720,11274,5
1721,11274,12
1722,11274,4
1723,11276,5
1724,11276,12
1725,11276,4
1726,11277,12
1727,11277,17
1728,11277,4
1729,11278,5
1730,11278,12
1731,11278,4
1732,11281,5
1733,11282,13
1734,11282,5
1735,11282,12
1736,11282,4
1737,11283,5
1738,11283,4
1739,11284,5
1740,11284,4
1741,11287,12
1742,11288,12
1743,11288,4
1744,11289,13
1745,11289,5
1746,11289,12
1747,11289,17
1748,11289,4
1749,11291,12
1750,11292,5
1751,11293,5
1752,11293,12
1753,11293,4
1754,11296,5
1755,11296,4
1756,11297,5
1757,11297,12
1758,11297,4
1759,11299,17
1760,11300,12
1761,11300,17
1762,11302,12
1763,11302,17
1764,11302,4
1765,11304,13
1766,11304,5
1767,11304,12
1768,11304,4
1769,11305,5
1770,11305,12
1771,11305,4
1772,11308,12
1773,11308,17
1774,11308,4
1775,11313,4
1776,11325,4
1777,11336,4
1778,11341,4
1779,11358,12
1780,11359,5
1781,11359,12
1782,11359,4
1783,11360,5
1784,11360,12
1785,11361,5
1786,11362,5
1787,11363,5
1788,11365,12
1789,11365,4
1790,11366,4
1791,11368,5
1792,11368,12
1793,11368,4
1794,11373,5
1795,11373,12
1796,11373,17
1797,11373,4
1798,11375,12
1799,11375,4
1800,11378,5
1801,11379,5
1802,11379,12
1803,11379,4
1804,11380,5
1805,11380,12
1806,11380,4
1807,11381,5
1808,11382,5
