conId,conCode,conName,conprvId,conDistrict,conOffice_Name,conOfficial_Landline,conOfficial_Mobile,conOfficial_Fax,conOfficial_Email,conOfficial_Address,conOfficial_Address_Town,conOfficial_Address_PostCode,conPopulation,conRecordArchived
190,2191,BAHARI,24,KILIFI,,,,,,,,,,False
191,2196,BURA,50,TANA RIVER,,,,,,,,,,False
192,2200,CHANGAMWE,38,MOMBASA,,,,,,,,,,False
193,2205,GALOLE,50,TANA RIVER,,,,,,,,,,False
194,2210,GANZE,24,KILIFI,,,,,,,,,,False
195,2215,GARSEN,50,TANA RIVER,,,,,,,,,,False
196,2219,KALOLENI,24,KILIFI,,,,,,,,,,False
197,2224,KINANGO,29,KWALE,,,,,,,,,,False
198,2228,KISAUNI,38,MOMBASA,,,,,,,,,,False
199,2233,LAMU EAST,31,LAMU,,,,,,,,,,False
200,2238,LAMU WEST,31,LAMU,,,,,,,,,,False
201,2244,LIKONI,38,MOMBASA,,,,,,,,,,False
202,2249,MAGARINI,24,MALINDI,,,,,,,,,,False
203,2255,MALINDI,24,MALINDI,,,,,,,,,,False
204,2261,MATUGA,29,KWALE,,,,,,,,,,False
205,2266,MT. ELGON,13,MT. ELGON,,,,,,,,,,False
206,2271,MVITA,38,MOMBASA,,,,,,,,,,False
207,2276,MWATATE,49,TAITA,,,,,,,,,,False
208,2281,TAVETA,49,TAITA,,,,,,,,,,False
209,2286,VOI,49,TAITA,,,,,,,,,,False
210,2292,WUNDANYI,49,TAITA,,,,,,,,,,False
211,1147,ALDAI,42,NANDI,,,,,,,,,78888,False
212,1590,THARAKA,51,THARAKA NORTH,,,,,,,,,,False
213,2293,MAARA,51,MAARA,,,,,,,,,,False
215,1824,NAVAKHOLO,21,Kakamega Central (Lurambi),,,,,,,,,,False
